phase,pc,lag_ms,src,dst
BothStartLoadPhase__LiftOff,pc3,150,FC6,F4
BothStartLoadPhase__LiftOff,pc3,150,Fp2,F7
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO10,FC1
FirstDigitTouch__BothStartLoadPhase,pc1,50,F4,FC6
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,FC2
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,CP5
FirstDigitTouch__BothStartLoadPhase,pc1,150,P7,CP5
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,F3
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO9,C4
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,FC6
FirstDigitTouch__BothStartLoadPhase,pc2,0,O1,F8
FirstDigitTouch__BothStartLoadPhase,pc2,0,O1,FC6
FirstDigitTouch__BothStartLoadPhase,pc2,100,P7,P3
FirstDigitTouch__BothStartLoadPhase,pc2,200,O2,O1
FirstDigitTouch__BothStartLoadPhase,pc3,0,P8,PO10
FirstDigitTouch__BothStartLoadPhase,pc3,50,CP6,P8
FirstDigitTouch__BothStartLoadPhase,pc3,100,CP6,P8
FirstDigitTouch__BothStartLoadPhase,pc3,100,FC6,F4
FirstDigitTouch__BothStartLoadPhase,pc3,100,P7,O1
FirstDigitTouch__BothStartLoadPhase,pc3,150,Fp1,PO10
FirstDigitTouch__BothStartLoadPhase,pc3,150,O2,Cz
HandStart__FirstDigitTouch,pc1,0,PO9,FC6
HandStart__FirstDigitTouch,pc1,100,PO9,FC6
HandStart__FirstDigitTouch,pc1,150,PO10,FC6
HandStart__FirstDigitTouch,pc1,200,PO9,FC2
HandStart__FirstDigitTouch,pc2,0,P7,CP5
HandStart__FirstDigitTouch,pc2,0,P8,CP6
HandStart__FirstDigitTouch,pc2,100,P8,P4
HandStart__FirstDigitTouch,pc2,150,O2,P4
HandStart__FirstDigitTouch,pc3,0,FC5,F3
HandStart__FirstDigitTouch,pc3,0,O2,Cz
HandStart__FirstDigitTouch,pc3,0,P3,P7
HandStart__FirstDigitTouch,pc3,50,FC5,F3
HandStart__FirstDigitTouch,pc3,100,C4,FC2
HandStart__FirstDigitTouch,pc3,150,Oz,P4
HandStart__FirstDigitTouch,pc3,200,C4,CP2
HandStart__FirstDigitTouch,pc3,200,Oz,P4
LiftOff__Replace,pc1,100,PO10,FC1
LiftOff__Replace,pc2,0,PO10,P8
LiftOff__Replace,pc2,50,O2,Fz
LiftOff__Replace,pc3,0,FC6,F4
LiftOff__Replace,pc3,0,FC6,F8
LiftOff__Replace,pc3,0,P8,CP6
LiftOff__Replace,pc3,150,CP6,C4
Replace__BothReleased,pc1,100,PO9,P7
Replace__BothReleased,pc1,150,Fp2,Fp1
Replace__BothReleased,pc1,200,PO10,Fp2
Replace__BothReleased,pc1,200,PO10,Fz
Replace__BothReleased,pc2,0,P7,CP5
Replace__BothReleased,pc2,50,Fp1,F4
Replace__BothReleased,pc2,50,Fp1,T7
Replace__BothReleased,pc2,50,O1,O2
Replace__BothReleased,pc2,200,Oz,F3
Replace__BothReleased,pc3,0,O2,Cz
Replace__BothReleased,pc3,50,C4,CP2
Replace__BothReleased,pc3,50,F4,Fz
Replace__BothReleased,pc3,50,P7,O1
Replace__BothReleased,pc3,100,C4,FC2
Replace__BothReleased,pc3,100,CP6,CP2
Replace__BothReleased,pc3,100,CP6,P8
Replace__BothReleased,pc3,100,Fp1,TP9
Replace__BothReleased,pc3,150,F8,Fp2
Replace__BothReleased,pc3,150,P8,PO10
Replace__BothReleased,pc3,200,O1,Fp1
Replace__BothReleased,pc3,200,P8,PO10
BothStartLoadPhase__LiftOff,pc1,0,P7,CP5
BothStartLoadPhase__LiftOff,pc1,0,T8,CP2
BothStartLoadPhase__LiftOff,pc1,50,O1,PO9
BothStartLoadPhase__LiftOff,pc1,50,P7,CP5
BothStartLoadPhase__LiftOff,pc1,50,PO10,Cz
BothStartLoadPhase__LiftOff,pc1,50,PO10,FC5
BothStartLoadPhase__LiftOff,pc1,50,PO9,C4
BothStartLoadPhase__LiftOff,pc1,100,P8,CP6
BothStartLoadPhase__LiftOff,pc1,100,PO10,F3
BothStartLoadPhase__LiftOff,pc1,100,PO10,FC1
BothStartLoadPhase__LiftOff,pc1,100,PO10,Fz
BothStartLoadPhase__LiftOff,pc1,100,PO9,C4
BothStartLoadPhase__LiftOff,pc1,100,PO9,FC6
BothStartLoadPhase__LiftOff,pc1,150,F4,FC6
BothStartLoadPhase__LiftOff,pc1,150,PO10,TP9
BothStartLoadPhase__LiftOff,pc1,200,O1,PO9
BothStartLoadPhase__LiftOff,pc1,200,PO9,C4
BothStartLoadPhase__LiftOff,pc2,0,O2,O1
BothStartLoadPhase__LiftOff,pc2,50,O1,FC6
BothStartLoadPhase__LiftOff,pc2,50,O2,F4
BothStartLoadPhase__LiftOff,pc2,50,O2,FC2
BothStartLoadPhase__LiftOff,pc2,50,Oz,FC1
BothStartLoadPhase__LiftOff,pc2,100,O1,FC6
BothStartLoadPhase__LiftOff,pc2,100,O1,O2
BothStartLoadPhase__LiftOff,pc2,100,O1,P7
BothStartLoadPhase__LiftOff,pc2,100,Oz,PO9
BothStartLoadPhase__LiftOff,pc2,150,O1,P3
BothStartLoadPhase__LiftOff,pc2,150,O2,F4
BothStartLoadPhase__LiftOff,pc2,200,P7,CP5
BothStartLoadPhase__LiftOff,pc3,0,FC6,F4
BothStartLoadPhase__LiftOff,pc3,0,Oz,FC5
BothStartLoadPhase__LiftOff,pc3,50,F3,FC1
BothStartLoadPhase__LiftOff,pc3,50,F3,FC5
BothStartLoadPhase__LiftOff,pc3,100,O2,C3
BothStartLoadPhase__LiftOff,pc3,100,O2,Fp1
BothStartLoadPhase__LiftOff,pc3,100,Oz,Fp2
BothStartLoadPhase__LiftOff,pc3,100,P3,P7
BothStartLoadPhase__LiftOff,pc3,150,C4,FC6
FirstDigitTouch__BothStartLoadPhase,pc1,0,PO10,Fz
FirstDigitTouch__BothStartLoadPhase,pc1,50,P7,CP5
FirstDigitTouch__BothStartLoadPhase,pc1,100,P8,CP6
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,F3
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,FC1
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,Fz
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO9,FC6
FirstDigitTouch__BothStartLoadPhase,pc1,150,F4,FC2
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,CP5
FirstDigitTouch__BothStartLoadPhase,pc2,0,O2,O1
FirstDigitTouch__BothStartLoadPhase,pc2,50,O1,P7
FirstDigitTouch__BothStartLoadPhase,pc2,50,O2,F4
FirstDigitTouch__BothStartLoadPhase,pc2,100,Fp1,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,100,O1,FC6
FirstDigitTouch__BothStartLoadPhase,pc2,100,O2,P4
FirstDigitTouch__BothStartLoadPhase,pc2,100,O2,P8
FirstDigitTouch__BothStartLoadPhase,pc2,150,Fp2,P7
FirstDigitTouch__BothStartLoadPhase,pc2,150,O2,F4
FirstDigitTouch__BothStartLoadPhase,pc2,150,O2,FC5
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,200,Oz,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,200,P8,CP6
FirstDigitTouch__BothStartLoadPhase,pc3,50,CP6,C4
FirstDigitTouch__BothStartLoadPhase,pc3,50,F3,FC5
FirstDigitTouch__BothStartLoadPhase,pc3,50,Oz,Cz
FirstDigitTouch__BothStartLoadPhase,pc3,100,C4,FC6
FirstDigitTouch__BothStartLoadPhase,pc3,100,FC5,F3
FirstDigitTouch__BothStartLoadPhase,pc3,100,Fp1,PO10
FirstDigitTouch__BothStartLoadPhase,pc3,100,O2,Fp1
FirstDigitTouch__BothStartLoadPhase,pc3,100,Oz,F8
FirstDigitTouch__BothStartLoadPhase,pc3,150,FC5,Oz
FirstDigitTouch__BothStartLoadPhase,pc3,150,FC6,F4
FirstDigitTouch__BothStartLoadPhase,pc3,150,P3,P7
FirstDigitTouch__BothStartLoadPhase,pc3,200,C4,FC6
FirstDigitTouch__BothStartLoadPhase,pc3,200,Oz,FC5
HandStart__FirstDigitTouch,pc1,0,PO10,FC5
HandStart__FirstDigitTouch,pc1,0,PO9,C4
HandStart__FirstDigitTouch,pc1,0,T8,CP2
HandStart__FirstDigitTouch,pc1,50,PO10,C3
HandStart__FirstDigitTouch,pc1,50,PO9,FC1
HandStart__FirstDigitTouch,pc1,100,P8,CP6
HandStart__FirstDigitTouch,pc1,100,PO10,F3
HandStart__FirstDigitTouch,pc1,100,PO10,TP9
HandStart__FirstDigitTouch,pc1,100,PO9,FC2
HandStart__FirstDigitTouch,pc1,100,PO9,Fz
HandStart__FirstDigitTouch,pc1,150,PO9,FC2
HandStart__FirstDigitTouch,pc1,150,PO9,FC6
HandStart__FirstDigitTouch,pc1,200,P7,CP5
HandStart__FirstDigitTouch,pc1,200,PO10,C3
HandStart__FirstDigitTouch,pc1,200,PO10,FC5
HandStart__FirstDigitTouch,pc1,200,PO9,C4
HandStart__FirstDigitTouch,pc2,0,O1,O2
HandStart__FirstDigitTouch,pc2,50,O2,F4
HandStart__FirstDigitTouch,pc2,50,Oz,FC2
HandStart__FirstDigitTouch,pc2,100,O2,P4
HandStart__FirstDigitTouch,pc2,100,O2,P8
HandStart__FirstDigitTouch,pc2,100,P7,CP5
HandStart__FirstDigitTouch,pc2,150,O2,Fz
HandStart__FirstDigitTouch,pc2,200,O1,FC6
HandStart__FirstDigitTouch,pc2,200,O2,F3
HandStart__FirstDigitTouch,pc2,200,Oz,Fz
HandStart__FirstDigitTouch,pc3,0,C4,FC6
HandStart__FirstDigitTouch,pc3,50,CP6,C4
HandStart__FirstDigitTouch,pc3,50,F4,Fz
HandStart__FirstDigitTouch,pc3,50,O1,C4
HandStart__FirstDigitTouch,pc3,50,Oz,Cz
HandStart__FirstDigitTouch,pc3,100,Oz,P4
HandStart__FirstDigitTouch,pc3,150,FC5,FC1
HandStart__FirstDigitTouch,pc3,150,O1,C4
LiftOff__Replace,pc1,0,T8,CP2
LiftOff__Replace,pc1,50,P7,CP5
LiftOff__Replace,pc1,50,PO10,C3
LiftOff__Replace,pc1,100,PO10,C3
LiftOff__Replace,pc1,100,PO10,F3
LiftOff__Replace,pc1,100,PO9,FC2
LiftOff__Replace,pc1,150,F4,FC2
LiftOff__Replace,pc1,150,O1,PO9
LiftOff__Replace,pc1,150,PO10,C3
LiftOff__Replace,pc1,150,PO9,FC6
LiftOff__Replace,pc1,200,PO10,F4
LiftOff__Replace,pc1,200,PO10,FC5
LiftOff__Replace,pc1,200,PO9,FC6
LiftOff__Replace,pc2,0,P7,TP9
LiftOff__Replace,pc2,0,PO9,O1
LiftOff__Replace,pc2,50,Oz,FC2
LiftOff__Replace,pc2,50,P7,CP5
LiftOff__Replace,pc2,50,P7,PO9
LiftOff__Replace,pc2,100,O2,P4
LiftOff__Replace,pc2,100,P8,P4
LiftOff__Replace,pc2,150,O2,F4
LiftOff__Replace,pc2,150,P7,PO9
LiftOff__Replace,pc2,200,O1,P3
LiftOff__Replace,pc2,200,P7,P3
LiftOff__Replace,pc3,0,Oz,FC6
LiftOff__Replace,pc3,50,F4,Fz
LiftOff__Replace,pc3,50,O1,PO10
LiftOff__Replace,pc3,100,F3,FC5
LiftOff__Replace,pc3,100,Fp2,O1
LiftOff__Replace,pc3,100,O2,C3
LiftOff__Replace,pc3,150,C4,CP2
LiftOff__Replace,pc3,200,C4,FC6
LiftOff__Replace,pc3,200,FC5,F3
LiftOff__Replace,pc3,200,Fp2,Oz
LiftOff__Replace,pc3,200,PO10,P8
Replace__BothReleased,pc1,0,PO10,C3
Replace__BothReleased,pc1,0,PO10,FC1
Replace__BothReleased,pc1,100,Fp1,F7
Replace__BothReleased,pc1,100,Fp2,T7
Replace__BothReleased,pc1,100,O2,Fp2
Replace__BothReleased,pc1,100,P7,CP5
Replace__BothReleased,pc1,150,Fp1,F3
Replace__BothReleased,pc1,150,O2,Fp2
Replace__BothReleased,pc1,200,PO9,FC6
Replace__BothReleased,pc2,0,PO9,TP9
Replace__BothReleased,pc2,50,O2,O1
Replace__BothReleased,pc2,100,O1,F8
Replace__BothReleased,pc2,100,O1,O2
Replace__BothReleased,pc2,100,Oz,PO9
Replace__BothReleased,pc2,150,O1,P3
Replace__BothReleased,pc2,150,O2,O1
Replace__BothReleased,pc2,150,Oz,Fz
Replace__BothReleased,pc2,200,O1,F4
Replace__BothReleased,pc2,200,Oz,F4
Replace__BothReleased,pc3,0,C4,CP6
Replace__BothReleased,pc3,0,Oz,Fp2
Replace__BothReleased,pc3,0,P3,CP5
Replace__BothReleased,pc3,50,P3,P7
Replace__BothReleased,pc3,100,Fp2,O2
Replace__BothReleased,pc3,200,CP6,C4
BothStartLoadPhase__LiftOff,pc1,0,T8,CP6
BothStartLoadPhase__LiftOff,pc1,100,PO10,T7
BothStartLoadPhase__LiftOff,pc1,150,PO10,FC5
BothStartLoadPhase__LiftOff,pc2,0,O1,F8
BothStartLoadPhase__LiftOff,pc2,100,O1,F8
BothStartLoadPhase__LiftOff,pc2,200,P8,CP6
BothStartLoadPhase__LiftOff,pc3,0,T8,CP6
BothStartLoadPhase__LiftOff,pc3,50,CP6,P8
BothStartLoadPhase__LiftOff,pc3,50,Fz,PO10
BothStartLoadPhase__LiftOff,pc3,100,Fp2,FC5
BothStartLoadPhase__LiftOff,pc3,200,Fp2,F7
BothStartLoadPhase__LiftOff,pc3,200,Fp2,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,0,T8,CP6
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,T7
FirstDigitTouch__BothStartLoadPhase,pc1,200,Fp2,Fp1
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,T7
FirstDigitTouch__BothStartLoadPhase,pc2,0,P7,P3
FirstDigitTouch__BothStartLoadPhase,pc2,50,Fp2,PO10
FirstDigitTouch__BothStartLoadPhase,pc2,50,P7,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,100,Fp2,Fp1
FirstDigitTouch__BothStartLoadPhase,pc2,100,Fp2,P7
FirstDigitTouch__BothStartLoadPhase,pc2,100,Fp2,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,100,Fp2,TP10
FirstDigitTouch__BothStartLoadPhase,pc2,150,Fp2,PO10
FirstDigitTouch__BothStartLoadPhase,pc2,150,Fp2,PO9
FirstDigitTouch__BothStartLoadPhase,pc2,200,Fp2,PO10
FirstDigitTouch__BothStartLoadPhase,pc2,200,O2,FC5
FirstDigitTouch__BothStartLoadPhase,pc3,0,T8,CP6
FirstDigitTouch__BothStartLoadPhase,pc3,50,O1,C4
FirstDigitTouch__BothStartLoadPhase,pc3,50,P7,O1
FirstDigitTouch__BothStartLoadPhase,pc3,100,CP6,CP2
FirstDigitTouch__BothStartLoadPhase,pc3,100,Fp1,F7
FirstDigitTouch__BothStartLoadPhase,pc3,100,Fp2,F7
FirstDigitTouch__BothStartLoadPhase,pc3,100,Fp2,FC5
FirstDigitTouch__BothStartLoadPhase,pc3,100,Fp2,PO9
FirstDigitTouch__BothStartLoadPhase,pc3,100,O2,C3
FirstDigitTouch__BothStartLoadPhase,pc3,100,P3,P7
FirstDigitTouch__BothStartLoadPhase,pc3,150,C4,FC2
FirstDigitTouch__BothStartLoadPhase,pc3,150,FC5,O2
FirstDigitTouch__BothStartLoadPhase,pc3,150,Fp2,F7
FirstDigitTouch__BothStartLoadPhase,pc3,150,Fp2,PO9
FirstDigitTouch__BothStartLoadPhase,pc3,200,Fp2,Oz
FirstDigitTouch__BothStartLoadPhase,pc3,200,Fp2,PO9
FirstDigitTouch__BothStartLoadPhase,pc3,200,O1,FC1
FirstDigitTouch__BothStartLoadPhase,pc3,200,Oz,Fp2
HandStart__FirstDigitTouch,pc1,0,T8,CP6
HandStart__FirstDigitTouch,pc2,0,FC5,F3
HandStart__FirstDigitTouch,pc2,0,P7,PO9
HandStart__FirstDigitTouch,pc3,0,T8,CP6
HandStart__FirstDigitTouch,pc3,50,Fp1,PO10
HandStart__FirstDigitTouch,pc3,50,Fp1,TP10
HandStart__FirstDigitTouch,pc3,50,P8,O2
HandStart__FirstDigitTouch,pc3,100,O1,FC1
HandStart__FirstDigitTouch,pc3,150,C4,FC2
HandStart__FirstDigitTouch,pc3,150,F7,Fp2
HandStart__FirstDigitTouch,pc3,150,Fp1,TP10
HandStart__FirstDigitTouch,pc3,150,O2,Fp2
HandStart__FirstDigitTouch,pc3,200,Oz,Fp1
LiftOff__Replace,pc1,0,F4,FC6
LiftOff__Replace,pc1,0,FC5,C3
LiftOff__Replace,pc1,0,O1,F8
LiftOff__Replace,pc1,0,PO10,P4
LiftOff__Replace,pc3,0,O2,PO10
LiftOff__Replace,pc3,0,P8,P4
Replace__BothReleased,pc1,0,F3,Fp1
Replace__BothReleased,pc1,0,T8,CP6
Replace__BothReleased,pc1,100,Fp2,F3
Replace__BothReleased,pc1,200,F8,Fp2
Replace__BothReleased,pc1,200,Fp2,F7
Replace__BothReleased,pc1,200,PO9,FC2
Replace__BothReleased,pc2,50,Oz,F3
Replace__BothReleased,pc2,150,P7,PO9
Replace__BothReleased,pc2,200,O1,Fz
Replace__BothReleased,pc3,50,Fp1,P8
Replace__BothReleased,pc3,100,Fp1,CP5
Replace__BothReleased,pc3,100,Fp1,FC6
Replace__BothReleased,pc3,100,P8,O2
Replace__BothReleased,pc3,100,P8,P4
Replace__BothReleased,pc3,150,F4,Fp2
Replace__BothReleased,pc3,150,Fp1,CP5
